"price","type","year","transmission","model","odometer","fuel","manufacturer","condition","state","lat","long","country"
2238,"wagon",2003,"manual","corsa",77671.375,"petrol","opel","good","Sachsen",51.0507,13.7366,"DE"
12000,"suv",2011,"manual","tiguan",93205.65,"diesel","volkswagen","good","Sachsen",51.043,13.7373,"DE"
14999,"convertible",2007,"manual","3er",31068.55,"petrol","bmw","good","Sachsen",51.0967,13.736,"DE"
2790,"limousine",1992,"manual","80",49709.68,"petrol","audi","good","Sachsen",51.021,13.7679,"DE"
6999,"wagon",2009,"manual","ibiza",18641.13,"petrol","seat","good","Sachsen",50.8962,13.6691,"DE"
4760,"other",2008,"manual","andere",93205.65,"diesel","peugeot","bad","Sachsen",50.9119,13.8167,"DE"
1800,"sedan",1999,"manual","golf",93205.65,"diesel","volkswagen","good","Sachsen",51.36,14.1657,"DE"
4490,"wagon",2008,"manual","polo",62137.1,"petrol","volkswagen","good","Brandenburg",51.5101,13.8981,"DE"
1600,"other",1991,"manual","kadett",43495.97,NA,"opel",NA,"Sachsen",51.4,14.5667,"DE"
13499,"sedan",2010,"automatic","golf",37282.26,"petrol","volkswagen","good","Sachsen",51.3667,12.3833,"DE"
17999,"suv",2011,"manual","navara",43495.97,"diesel","nissan","good","Sachsen",51.3425,12.323,"DE"
11500,"limousine",2010,"manual","a6",93205.65,"petrol","audi","good","Sachsen",51.3667,12.3833,"DE"
1300,"sedan",1997,"manual","passat",93205.65,"petrol","volkswagen","good","Sachsen",51.3667,12.3833,"DE"
4900,"bus",2006,"manual","golf",93205.65,"petrol","volkswagen","bad","Sachsen",51.3667,12.3833,"DE"
1400,"other",2003,"manual","vito",93205.65,"diesel","mercedes_benz","good","Sachsen",51.2042,12.6985,"DE"
11919,"wagon",2012,"automatic","polo",18641.13,"petrol","volkswagen","good","Sachsen-Anhalt",51.4701,11.9675,"DE"
1200,"wagon",2002,"manual","3_reihe",93205.65,"petrol","mazda",NA,"Sachsen-Anhalt",51.4348,11.9815,"DE"
7000,"limousine",2006,"automatic","jetta",62137.1,"diesel","volkswagen","good","Sachsen-Anhalt",51.286,11.8899,"DE"
2800,"limousine",2004,"manual","golf",62137.1,"petrol","volkswagen","bad","Sachsen-Anhalt",51.5186,11.5977,"DE"
200,NA,2009,NA,NA,6213.71,NA,"sonstige_autos",NA,"Sachsen-Anhalt",51.5917,11.1405,"DE"
16150,"suv",2011,"manual","tiguan",18641.13,"petrol","volkswagen","good","Sachsen-Anhalt",51.7495,11.0872,"DE"
350,"limousine",1993,"manual","r19",93205.65,"petrol","renault","good","Sachsen-Anhalt",51.946,12.7854,"DE"
5500,"other",2010,"manual","andere",93205.65,"diesel","citroen","good","Thüringen",50.8782,12.0824,"DE"
2500,"wagon",2000,"manual","beetle",93205.65,"petrol","volkswagen","good","Thüringen",50.6697,12.2652,"DE"
800,"wagon",1993,"manual","polo",93205.65,"petrol","volkswagen","good","Sachsen",50.3114,12.3295,"DE"
250,"sedan",2000,"manual","156",93205.65,"petrol","alfa_romeo","bad","Sachsen",50.8833,12.5,"DE"
500,"wagon",1996,"manual","corsa",43495.97,"petrol","opel",NA,"Sachsen",50.6601,12.3562,"DE"
5900,"limousine",1999,"automatic","7er",93205.65,"diesel","bmw","good","Sachsen",50.7667,13.0167,"DE"
2600,"coupe",1998,"manual","andere",93205.65,"petrol","toyota","good","Sachsen",50.75,13.1333,"DE"
450,"wagon",1997,"manual","arosa",93205.65,"petrol","seat","good","Sachsen",50.7,13.35,"DE"
9790,"sedan",2014,"manual","clio",18641.13,"petrol","renault","good","Berlin",52.5238,13.4428,"DE"
39600,"coupe",2014,"automatic","andere",18641.13,"petrol","bmw","good","Berlin",52.5378,13.4112,"DE"
11900,"other",2002,"manual","andere",93205.65,"diesel","volkswagen","good","Berlin",52.5307,13.3372,"DE"
1200,"limousine",1997,"manual","golf",93205.65,"petrol","volkswagen",NA,"Berlin",52.4975,13.3427,"DE"
1999,NA,2016,"manual","almera",93205.65,"diesel","nissan",NA,"Berlin",52.5009,13.4356,"DE"
3000,"convertible",2006,"automatic","fortwo",49709.68,"petrol","smart","good","Berlin",52.4712,13.4486,"DE"
1600,"limousine",1996,"automatic","7er",93205.65,"petrol","bmw","good","Berlin",52.4684,13.4633,"DE"
4650,"sedan",2005,"automatic","c_klasse",93205.65,"diesel","mercedes_benz",NA,"Berlin",52.4465,13.3993,"DE"
1500,"limousine",2000,"manual","civic",77671.375,"petrol","honda","good","Berlin",52.4626,13.3185,"DE"
1700,"wagon",1999,"automatic","a_klasse",77671.375,"petrol","mercedes_benz","good","Berlin",52.4033,13.4021,"DE"
6900,"limousine",2008,"manual","civic",37282.26,"petrol","honda","good","Berlin",52.5027,13.5878,"DE"
1490,"limousine",1992,"automatic","e_klasse",93205.65,"petrol","mercedes_benz","good","Berlin",52.558,13.3473,"DE"
650,"limousine",1997,"automatic","3er",93205.65,"petrol","bmw",NA,"Berlin",52.5502,13.3828,"DE"
2899,"bus",1996,"manual","andere",93205.65,"diesel","mitsubishi","good","Berlin",52.5679,13.3714,"DE"
1299,"coupe",1998,"manual","andere",93205.65,"petrol","citroen","good","Berlin",52.602,13.3456,"DE"
2000,"bus",2005,"manual","modus",93205.65,"diesel","renault","good","Berlin",52.5976,13.3584,"DE"
14499,"limousine",2007,"automatic","c_klasse",77671.375,"diesel","mercedes_benz","good","Berlin",52.5976,13.3584,"DE"
1990,"wagon",2003,"manual","fiesta",77671.375,"petrol","ford","good","Berlin",52.6119,13.3422,"DE"
14900,"limousine",2007,"manual","1er",93205.65,"petrol","bmw","good","Berlin",52.4463,13.2026,"DE"
9600,"sedan",2008,"manual","c_klasse",93205.65,"diesel","mercedes_benz","good","Brandenburg",52.4031,13.2601,"DE"
200,"wagon",1995,"manual","ibiza",93205.65,"petrol","seat","good","Brandenburg",52.3271,12.6625,"DE"
1000,"wagon",1999,"manual","clio",93205.65,"petrol","renault","good","Brandenburg",52.5601,13.0927,"DE"
1200,NA,2018,"manual","astra",93205.65,NA,"opel","good","Brandenburg",52.5786,13.8874,"DE"
1099,"wagon",1995,"manual","corsa",18641.13,"petrol","opel","good","Brandenburg",52.3582,13.5984,"DE"
14900,"convertible",2004,"manual","z_reihe",43495.97,"petrol","bmw","good","Brandenburg",52.6771,13.5364,"DE"
3000,NA,2016,"manual","c_max",93205.65,"diesel","ford",NA,"Brandenburg",52.7781,13.4384,"DE"
1499,"wagon",2002,"manual","a_klasse",93205.65,NA,"mercedes_benz","good","Brandenburg",52.6915,13.1753,"DE"
650,"limousine",2002,"manual","vectra",93205.65,"petrol","opel","good","Brandenburg",52.9282,12.8031,"DE"
8500,"bus",2007,"manual","transporter",93205.65,"diesel","volkswagen","good","Brandenburg",53.2125,13.8875,"DE"
2222,"convertible",1991,"manual","golf",93205.65,"petrol","volkswagen","good","Mecklenburg-Vorpommern",54.0161,13.594,"DE"
3999,"sedan",2004,"automatic","a6",93205.65,"diesel","audi","good","Mecklenburg-Vorpommern",54.2332,12.9316,"DE"
8500,"limousine",2003,"manual","a4",93205.65,"petrol","audi","good","Mecklenburg-Vorpommern",54.4031,13.2941,"DE"
1480,"convertible",2000,"manual","golf",93205.65,"petrol","volkswagen",NA,"Mecklenburg-Vorpommern",53.4975,10.9504,"DE"
0,"limousine",1980,"manual","andere",24854.84,"petrol","volkswagen","good","Brandenburg",53.0525,11.958,"DE"
350,NA,2016,"manual","golf",93205.65,"petrol","volkswagen","good","Mecklenburg-Vorpommern",53.5083,12.1333,"DE"
850,"sedan",2001,"manual","andere",77671.375,"petrol","fiat","good","Hamburg",53.5764,9.9867,"DE"
3900,"wagon",2008,"automatic","fortwo",49709.68,"petrol","smart",NA,"Hamburg",53.465,9.9586,"DE"
4300,"sedan",2003,"automatic","a6",93205.65,NA,"audi",NA,"Hamburg",53.4703,9.8933,"DE"
1450,"wagon",1999,"manual","2_reihe",93205.65,"petrol","peugeot","good","Niedersachsen",53.3484,10.2068,"DE"
8450,"limousine",2010,"manual","a_klasse",43495.97,"petrol","mercedes_benz","good","Schleswig-Holstein",53.5,10.25,"DE"
8700,"limousine",2004,"automatic","5er",93205.65,"petrol","bmw","good","Niedersachsen",53.6084,9.4688,"DE"
0,NA,2017,"manual","golf",3106.855,"petrol","volkswagen",NA,"Niedersachsen",53.454,9.503,"DE"
3650,"convertible",2004,"manual","megane",93205.65,"petrol","renault",NA,"Niedersachsen",53.5333,9.55,"DE"
130,"sedan",1998,NA,"e_klasse",93205.65,NA,"mercedes_benz",NA,"Hamburg",53.5883,10.0897,"DE"
11299,"limousine",2006,"automatic","golf",93205.65,"petrol","volkswagen","good","Hamburg",53.575,10.0342,"DE"
3750,NA,2005,NA,"golf",93205.65,NA,"volkswagen",NA,"Hamburg",53.5281,10.1473,"DE"
4000,"sedan",2003,"automatic","a6",93205.65,"diesel","audi","good","Hamburg",53.605,9.9161,"DE"
2500,"sedan",2001,"automatic","c_klasse",93205.65,"diesel","mercedes_benz","good","Hamburg",53.5824,9.8556,"DE"
1500,"bus",1984,"manual","andere",93205.65,"diesel","mercedes_benz","good","Hamburg",53.5503,9.9353,"DE"
4800,"limousine",2004,"manual","golf",49709.68,"petrol","volkswagen","good","Schleswig-Holstein",53.6752,10.2259,"DE"
4000,"limousine",2004,"manual","andere",93205.65,"lpg","kia","good","Schleswig-Holstein",53.8606,10.6611,"DE"
200,"coupe",1995,"manual","3er",93205.65,"petrol","bmw",NA,"Schleswig-Holstein",53.8471,10.6845,"DE"
4290,"bus",2008,"manual","combo",93205.65,"diesel","opel","good","Schleswig-Holstein",53.8922,10.7583,"DE"
750,"sedan",2000,"manual","passat",93205.65,"petrol","volkswagen","good","Schleswig-Holstein",54.3333,10.9333,"DE"
500,"wagon",1994,"manual","golf",93205.65,"petrol","volkswagen","good","Schleswig-Holstein",53.617,10.6874,"DE"
2990,"limousine",2001,"automatic","a_klasse",43495.97,"petrol","mercedes_benz","good","Mecklenburg-Vorpommern",53.8665,11.3729,"DE"
1350,"wagon",2002,"manual","ka",93205.65,"petrol","ford",NA,"Schleswig-Holstein",54.3205,10.1327,"DE"
1800,"bus",2001,"manual","andere",93205.65,"diesel","mitsubishi","good","Schleswig-Holstein",54.3253,10.1212,"DE"
600,"bus",1998,"manual","scenic",93205.65,"petrol","renault","bad","Schleswig-Holstein",54.3061,10.1448,"DE"
3400,"limousine",2002,"automatic","5er",93205.65,"diesel","bmw",NA,"Schleswig-Holstein",54.3061,10.1448,"DE"
300,"bus",1997,"manual","andere",93205.65,"petrol","opel",NA,"Schleswig-Holstein",54.309,10.2137,"DE"
450,"wagon",1910,NA,"ka",3106.855,"petrol","ford",NA,"Schleswig-Holstein",54.3187,10.1703,"DE"
5500,"wagon",2012,"manual",NA,24854.84,NA,"peugeot","good","Schleswig-Holstein",54.1,10.0333,"DE"
10800,"wagon",2010,"manual","a1",77671.375,"diesel","audi","good","Schleswig-Holstein",54.0893,9.9779,"DE"
3000,NA,2016,"automatic","fabia",93205.65,"petrol","skoda",NA,"Schleswig-Holstein",54.3184,9.6729,"DE"
2100,NA,2017,"manual","zafira",93205.65,"diesel","opel",NA,"Schleswig-Holstein",54.3184,9.6729,"DE"
11000,"sedan",2010,"automatic","a4",93205.65,"petrol","audi","good","Schleswig-Holstein",54.5216,9.5586,"DE"
1500,"sedan",1996,"manual","a4",93205.65,NA,"audi","good","Schleswig-Holstein",54.65,9.5167,"DE"
3200,"convertible",2001,"manual","spider",93205.65,NA,"alfa_romeo",NA,"Schleswig-Holstein",54.7983,9.4206,"DE"
12999,"sedan",2008,"automatic","a6",93205.65,"diesel","audi","good","Schleswig-Holstein",53.9443,9.6063,"DE"
6450,"sedan",2006,"manual","megane",77671.375,"diesel","renault","good","Schleswig-Holstein",53.95,9.15,"DE"
2350,NA,2006,NA,"c1",3106.855,"other","citroen",NA,"Niedersachsen",53.1567,8.2333,"DE"
300,NA,2005,"manual","punto",24854.84,NA,"fiat","bad","Niedersachsen",53.25,8.1167,"DE"
300,"wagon",1994,"manual","andere",93205.65,"petrol","mitsubishi",NA,"Niedersachsen",53.3894,7.9548,"DE"
5000,"bus",2006,"manual","sprinter",93205.65,"diesel","mercedes_benz","good","Niedersachsen",53.5234,8.1075,"DE"
7950,"limousine",2008,"manual","a3",93205.65,"diesel","audi","good","Niedersachsen",53.5333,7.95,"DE"
3900,"sedan",2006,"manual","octavia",93205.65,"lpg","skoda","good","Niedersachsen",53.5333,7.95,"DE"
350,NA,2017,NA,"corsa",93205.65,"petrol","opel",NA,"Niedersachsen",53.2568,7.9274,"DE"
8999,"bus",2007,"manual","touran",55923.39,"diesel","volkswagen","good","Niedersachsen",53.2262,7.7489,"DE"
1699,"limousine",1999,NA,"astra",93205.65,"petrol","opel",NA,"Niedersachsen",53.1362,7.5747,"DE"
11550,"coupe",2009,"automatic","passat",77671.375,"diesel","volkswagen","good","Niedersachsen",53.2375,8.4566,"DE"
500,"wagon",1999,"manual",NA,93205.65,"petrol","renault","good","Niedersachsen",53.5472,8.335,"DE"
300,"wagon",1993,"manual","golf",93205.65,"petrol","volkswagen",NA,"Niedersachsen",53.225,9.0776,"DE"
2550,"wagon",2006,"manual","fabia",93205.65,"petrol","skoda","good","Niedersachsen",53.2559,9.4803,"DE"
0,"bus",2004,"manual","meriva",93205.65,"lpg","opel","bad","Niedersachsen",53.5251,9.049,"DE"
999,"wagon",1998,"manual","golf",93205.65,NA,"volkswagen",NA,"Niedersachsen",53.8584,8.709,"DE"
2390,"sedan",2000,"automatic","e_klasse",93205.65,"diesel","mercedes_benz","good","Niedersachsen",53.8555,8.6773,"DE"
950,"limousine",1995,"manual","5er",93205.65,"petrol","bmw",NA,"Niedersachsen",53.048,8.6606,"DE"
7600,"sedan",2004,"automatic","c_klasse",93205.65,"petrol","mercedes_benz","good","Niedersachsen",53.0333,8.5333,"DE"
4300,"limousine",2005,"manual","golf",93205.65,"diesel","volkswagen",NA,"Bremen",53.1094,8.7814,"DE"
1199,"wagon",2000,"manual","twingo",93205.65,"petrol","renault","good","Niedersachsen",53.0142,9.0263,"DE"
3300,"sedan",2005,"manual","c_klasse",93205.65,"diesel","mercedes_benz","bad","Niedersachsen",52.6175,10.085,"DE"
8390,NA,2009,NA,"insignia",93205.65,NA,"opel",NA,"Niedersachsen",52.6175,10.085,"DE"
3200,"wagon",2004,"manual","ibiza",49709.68,"petrol","seat","good","Niedersachsen",52.9857,10.0876,"DE"
10500,"limousine",2010,"manual","3er",93205.65,"diesel","bmw","good","Niedersachsen",52.8497,9.688,"DE"
24900,"coupe",2009,"automatic","e_klasse",77671.375,"petrol","mercedes_benz","good","Niedersachsen",52.3665,9.6815,"DE"
3850,"limousine",2003,"manual","passat",93205.65,"diesel","volkswagen","good","Niedersachsen",52.3425,9.7153,"DE"
370,"wagon",1992,"manual","polo",77671.375,"petrol","volkswagen","good","Niedersachsen",52.3964,9.5973,"DE"
5555,NA,2017,"manual","c4",77671.375,NA,"citroen","good","Niedersachsen",52.141,9.9407,"DE"
5500,"limousine",2007,"manual","golf",77671.375,"petrol","volkswagen","good","Niedersachsen",52.25,10.2167,"DE"
800,"limousine",1998,"manual","golf",93205.65,"petrol","volkswagen","bad","Niedersachsen",52.3719,9.9792,"DE"
5800,"bus",2007,"manual",NA,93205.65,"diesel","volkswagen","bad","Niedersachsen",52.3139,9.9682,"DE"
14500,"wagon",2013,"manual","a1",37282.26,"petrol","audi","good","Niedersachsen",52.6645,9.2449,"DE"
9500,"sedan",2011,"manual","insignia",93205.65,"diesel","opel","good","Niedersachsen",52.2084,9.5542,"DE"
590,"limousine",1996,"manual","corsa",93205.65,NA,"opel",NA,"Nordrhein-Westfalen",52.1005,8.6723,"DE"
150,NA,2016,"automatic","fiesta",31068.55,"petrol","ford","bad","Nordrhein-Westfalen",52.2296,8.9161,"DE"
800,NA,2000,"manual","golf",93205.65,"diesel","volkswagen",NA,"Nordrhein-Westfalen",52.1885,8.6922,"DE"
500,"wagon",1999,"manual","corsa",93205.65,"petrol","opel","good","Nordrhein-Westfalen",51.936,8.8783,"DE"
1500,"coupe",1994,"manual",NA,93205.65,NA,"audi","good","Nordrhein-Westfalen",51.9922,8.793,"DE"
15700,"limousine",2011,"manual","golf",55923.39,"diesel","volkswagen","good","Nordrhein-Westfalen",51.9094,8.7317,"DE"
21500,"suv",2007,"automatic","m_klasse",93205.65,"lpg","mercedes_benz","good","Nordrhein-Westfalen",51.6677,8.7228,"DE"
1750,"limousine",2002,"manual","focus",77671.375,"petrol","ford","good","Nordrhein-Westfalen",51.9074,8.3767,"DE"
2399,NA,2018,"manual","andere",77671.375,NA,"seat","good","Nordrhein-Westfalen",51.8092,8.4284,"DE"
900,NA,2017,"manual","corsa",93205.65,"petrol","opel","good","Nordrhein-Westfalen",52.0245,8.5326,"DE"
7500,"limousine",2002,"automatic","e_klasse",93205.65,NA,"mercedes_benz",NA,"Nordrhein-Westfalen",51.9745,8.4686,"DE"
3300,"wagon",2006,"automatic","fortwo",77671.375,"diesel","smart","good","Nordrhein-Westfalen",52.0107,8.5926,"DE"
10500,"bus",2006,"automatic","vito",93205.65,"diesel","mercedes_benz","good","Nordrhein-Westfalen",52.0707,8.6002,"DE"
650,"limousine",1995,"manual","3er",93205.65,"petrol","bmw","bad","Nordrhein-Westfalen",52.0401,8.1527,"DE"
3300,"sedan",2006,"automatic","passat",93205.65,"diesel","volkswagen","good","Nordrhein-Westfalen",52.0401,8.1527,"DE"
3400,"wagon",2006,"manual","fox",43495.97,"petrol","volkswagen","good","Nordrhein-Westfalen",52.0601,8.3608,"DE"
800,"sedan",2002,"manual","mondeo",93205.65,"diesel","ford",NA,"Hessen",51.2667,9.5333,"DE"
950,"wagon",1995,"manual","polo",93205.65,"petrol","volkswagen","good","Hessen",51.2856,9.2717,"DE"
