region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,vin,drive,size,type,paint_color,county,state,lat,long
greensboro,10299,2012.0,acura,tl,,,gas,90186.0,clean,automatic,19UUA8F22CA003926,,,other,blue,,nc,35.7636,-78.7443
greensboro,0,2011.0,bmw,335,,6 cylinders,gas,115120.0,clean,automatic,,rwd,,convertible,blue,,nc,,
greensboro,9500,2011.0,jaguar,xf,excellent,,gas,85000.0,clean,automatic,,,,,blue,,nc,36.1032,-79.8794
greensboro,3995,2004.0,honda,element,,,gas,212526.0,clean,automatic,5J6YH18314L006498,fwd,,SUV,orange,,nc,35.7636,-78.7443
lincoln,41988,2016.0,chevrolet,silverado k2500hd,,,gas,,clean,automatic,1GC1KWE85GF266427,,,,,,ne,41.1345,-96.2458
greensboro,12995,2015.0,kia,sportage,,,gas,85127.0,clean,automatic,KNDPCCAC2F7761967,4wd,,wagon,,,nc,35.7636,-78.7443
greensboro,10995,2014.0,chevrolet,traverse,,,gas,112383.0,clean,automatic,1GNKRGKD2EJ157108,fwd,,SUV,black,,nc,35.7636,-78.7443
greensboro,8995,2011.0,bmw,528i,,,gas,124446.0,clean,automatic,WBAFR1C52BC745716,,,sedan,silver,,nc,35.7636,-78.7443
greensboro,3995,2007.0,toyota,solara,,,gas,185123.0,clean,automatic,4T1FA38P57U118005,fwd,compact,convertible,black,,nc,35.7636,-78.7443
greensboro,8995,2005.0,toyota,tacoma,,,gas,181020.0,clean,automatic,5TETU62N65Z006686,,,other,black,,nc,35.7636,-78.7443
greensboro,7995,2008.0,nissan,frontier,,,gas,162214.0,clean,automatic,1N6AD09U98C411189,fwd,,pickup,red,,nc,35.7636,-78.7443
greensboro,11995,2014.0,volkswagen,beetle,,,gas,77118.0,clean,automatic,3VWVT7AT7EM630324,,compact,hatchback,black,,nc,35.7636,-78.7443
greensboro,5495,2008.0,ford,edge,,,gas,139904.0,clean,automatic,2FMDK48C88BA69851,,,SUV,,,nc,35.7636,-78.7443
denver,7995,2010.0,chevrolet,silverado 1500 4wd,excellent,8 cylinders,gas,194050.0,clean,automatic,1GCSKPE38AZ143970,4wd,full-size,truck,white,,co,39.8302,-105.037
denver,8990,2016.0,ford,focus,,,gas,78877.0,clean,automatic,1FADP3KE2GL297598,,compact,hatchback,white,,co,39.5951,-104.845
denver,7500,2012.0,toyota,camry,,,gas,,clean,automatic,,,,,,,co,39.77,-105.126
greensboro,12995,2009.0,gmc,yukon,,,gas,146353.0,clean,automatic,1GKFK03289R297436,4wd,,SUV,black,,nc,35.7636,-78.7443
greensboro,12995,2009.0,gmc,yukon,,,gas,146353.0,clean,automatic,1GKFK03289R297436,4wd,,SUV,black,,nc,35.7636,-78.7443
greensboro,7995,2011.0,subaru,outback,,,gas,135775.0,clean,,4S4BRBAC9B3333460,,,wagon,,,nc,35.7636,-78.7443
greensboro,5995,2006.0,ram,,,,gas,193172.0,clean,automatic,1D7HA18N96J103321,fwd,,pickup,blue,,nc,35.7636,-78.7443
denver,19337,2013.0,toyota,tacoma prerunner sr5 lif,,,gas,87321.0,clean,automatic,3TMJU4GN2DM145027,rwd,,,,,co,39.676,-105.009
denver,6900,2008.0,lexus,rx 350 awd,,6 cylinders,gas,193800.0,clean,automatic,,4wd,,,white,,co,39.671,-104.928
greensboro,5495,2007.0,volvo,xc90,,,gas,138335.0,clean,automatic,YV4CZ982471354229,,,SUV,,,nc,35.7636,-78.7443
greensboro,15300,2015.0,honda,accord lx-s coupe 2d,good,,gas,54296.0,clean,automatic,1HGCT1B39FA002562,fwd,,coupe,black,,nc,36.07,-79.82
greensboro,9895,2005.0,toyota,4-runner,,,gas,172470.0,clean,automatic,JTEBT17R050047428,4wd,,wagon,silver,,nc,35.7636,-78.7443
syracuse,4000,1995.0,dodge,,excellent,8 cylinders,gas,133000.0,clean,automatic,00000000000000,4wd,full-size,truck,grey,,ny,43.0734,-76.1568
greensboro,4895,2008.0,volvo,xc70,,,gas,168798.0,clean,automatic,YV4BZ982081016906,,,wagon,white,,nc,35.7636,-78.7443
denver,14980499,2013.0,ford,f-150,excellent,6 cylinders,gas,80683.0,clean,automatic,1FTEX1CM7DFD84075,rwd,full-size,,white,,co,39.7005,-104.865
greensboro,16000,2011.0,bmw,535i,excellent,6 cylinders,gas,85000.0,salvage,automatic,,fwd,full-size,sedan,grey,,nc,35.5895,-82.5671
syracuse,10950,2011.0,buick,lucerne cxl v6,excellent,6 cylinders,gas,43418.0,clean,automatic,1G4HC5EM9BU123841,fwd,full-size,sedan,red,,ny,43.1226,-76.1284
greensboro,9895,2004.0,ford,f-150,,,gas,162867.0,clean,automatic,1FTPW145X4KB77884,4wd,,pickup,red,,nc,35.7636,-78.7443
syracuse,9400,2011.0,bmw,x5,good,6 cylinders,gas,145000.0,clean,automatic,,4wd,,SUV,blue,,ny,43.1707,-76.0962
greensboro,38900,2016.0,ram,2500,,,diesel,99801.0,clean,automatic,3C6UR5KL0GG160114,4wd,,pickup,black,,nc,36.2768,-80.3395
greensboro,0,2017.0,nissan,370z,,6 cylinders,gas,41028.0,clean,manual,,rwd,,coupe,white,,nc,,
syracuse,1500,2003.0,jeep,liberty,fair,6 cylinders,gas,146260.0,clean,automatic,,4wd,,,,,ny,43.0878,-75.7602
syracuse,4500,2012.0,ford,fusion sel,excellent,6 cylinders,gas,155000.0,clean,automatic,,4wd,mid-size,sedan,silver,,ny,43.4427,-76.5108
south jersey,999,2016.0,kia,sorento lx,excellent,4 cylinders,gas,71000.0,clean,automatic,,,,SUV,purple,,nj,39.4129,-74.3797
south jersey,2250,2006.0,chevrolet,aveo,,,gas,,clean,automatic,,,,,,,nj,39.3223,-74.6008
greensboro,8995,2007.0,toyota,tundra,,,gas,225667.0,clean,automatic,5TBRV54147S471674,fwd,,pickup,white,,nc,35.7636,-78.7443
greensboro,4495,2007.0,volvo,s40,,,gas,119154.0,clean,automatic,YV1MS382X72314458,fwd,compact,sedan,blue,,nc,35.7636,-78.7443
